V0_LATITUDE,V1_LATITUDE,V2_LATITUDE,V3_LATITUDE,V0_LONGITUDE,V1_LONGITUDE,V2_LONGITUDE,V3_LONGITUDE,mg/si,al/si,ca/si
-7.641,-12.875,-12.885,-7.65,-131.336,-131.406,-130.742,-130.685,0.289,1.093,0.45
80.276,74.585,74.544,80.211,-127.656,-128.569,-125.687,-123.049,0.287,1.198,0.329
71.988,66.305,66.278,71.953,-127.686,-128.032,-126.193,-125.251,0.496,1.2,0.529
-40.182,-45.434,-45.449,-40.196,-125.649,-125.833,-124.832,-124.745,0.337,1.011,0.326
-67.353,-72.626,-72.666,-67.383,-127.462,-128.455,-125.838,-125.47,0.495,0.803,0.412
-42.57,-48.236,-48.251,-42.583,-132.014,-132.221,-131.166,-131.076,0.585,1.364,0.546
65.012,59.754,59.733,64.986,-121.597,-121.816,-120.416,-119.9,0.357,0.89,0.397
-77.005,-82.258,-82.347,-77.058,-131.93,-135.75,-129.747,-128.399,0.376,0.619,0.343
39.29,34.047,34.035,39.277,-128.675,-128.746,-127.943,-127.804,0.179,0.624,0.29
-16.205,-21.857,-21.868,-16.215,-124.066,-124.164,-123.459,-123.392,0.289,0.767,0.364
-41.363,-46.615,-46.631,-41.377,-126.736,-126.927,-125.902,-125.813,0.417,0.939,0.472
-50.04,-55.713,-55.732,-50.057,-127.076,-127.387,-126.094,-125.963,0.52,1.332,0.547
-66.063,-71.742,-71.776,-66.089,-133.48,-134.391,-131.947,-131.629,0.313,0.939,0.304
-55.566,-60.829,-60.851,-55.585,-130.503,-130.882,-129.368,-129.22,0.188,0.629,0.306
-13.479,-18.714,-18.724,-13.488,-131.413,-131.491,-130.802,-130.746,0.287,1.098,0.435
-44.225,-49.478,-49.493,-44.239,-132.07,-132.273,-131.188,-131.1,0.378,1.098,0.454
-12.912,-18.148,-18.157,-12.921,-132.462,-132.537,-131.851,-131.797,0.401,1.162,0.316
74.456,68.77,68.741,74.415,-127.465,-127.906,-125.845,-124.629,0.391,0.828,0.385
12.117,6.883,6.874,12.108,-132.183,-132.237,-131.587,-131.52,0.346,0.985,0.418
-5.731,-11.383,-11.392,-5.74,-133.432,-133.501,-132.84,-132.783,0.422,1.29,0.518
54.317,48.643,48.629,54.301,-133.876,-133.965,-132.89,-132.637,0.282,0.882,0.321
-61.972,-67.242,-67.271,-61.996,-127.871,-128.482,-126.51,-126.278,0.33,0.795,0.245
-64.191,-69.873,-69.907,-64.217,-126.02,-126.838,-124.587,-124.277,0.441,0.959,0.379
36.57,31.333,31.321,36.557,-125.509,-125.582,-124.817,-124.686,0.279,0.656,0.365
41.343,36.094,36.083,41.331,-132.96,-133.022,-132.179,-132.04,0.471,0.75,0.352
-50.614,-56.286,-56.305,-50.63,-129.193,-129.508,-128.198,-128.069,0.452,0.95,0.468
37.6,31.947,31.935,37.587,-122.3,-122.384,-121.619,-121.472,0.431,0.917,0.358
39.404,33.74,33.73,39.393,-134.071,-134.131,-133.313,-133.18,0.427,0.778,0.319
47.184,41.52,41.507,47.169,-128.554,-128.646,-127.739,-127.539,0.51,1.987,0.618
72.427,66.745,66.717,72.391,-126.552,-126.923,-125.055,-124.064,0.419,0.694,0.507
59.685,54.007,53.991,59.667,-133.773,-133.885,-132.654,-132.314,0.294,0.7,0.231
41.064,35.814,35.803,41.053,-134.053,-134.111,-133.268,-133.135,0.333,0.642,0.285
-64.487,-69.759,-69.793,-64.514,-127.093,-127.851,-125.619,-125.333,0.355,0.765,0.295
-39.058,-44.724,-44.739,-39.072,-124.565,-124.757,-123.77,-123.677,0.322,0.922,0.359
-28.248,-33.49,-33.502,-28.259,-128.498,-128.617,-127.809,-127.743,0.337,0.58,0.264
89.239,84.882,84.751,89.501,-88.797,-120.685,-112.078,-12.879,0.363,1.039,0.405
-6.389,-11.624,-11.633,-6.399,-131.32,-131.389,-130.729,-130.672,0.366,0.939,0.367
-75.786,-81.45,-81.531,-75.833,-131.447,-134.854,-129.432,-128.23,0.374,1.024,0.354
29.892,24.659,24.648,29.88,-121.347,-121.418,-120.714,-120.604,0.356,0.875,0.485
-77.166,-82.418,-82.496,-77.211,-138.896,-142.469,-136.475,-135.399,0.402,0.861,0.234
-9.829,-15.479,-15.49,-9.839,-125.024,-125.11,-124.44,-124.374,0.243,0.808,0.41
34.004,28.759,28.749,33.994,-134.125,-134.177,-133.411,-133.307,0.212,0.641,0.268
40.569,35.33,35.318,40.555,-123.318,-123.4,-122.597,-122.446,0.297,0.703,0.411
78.456,73.18,73.141,78.399,-124.672,-125.393,-122.793,-120.854,0.269,0.838,0.285
-32.482,-38.143,-38.157,-32.494,-123.334,-123.488,-122.615,-122.534,0.545,1.341,0.351
62.334,57.08,57.06,62.311,-120.642,-120.831,-119.549,-119.116,0.284,0.724,0.297
-56.688,-62.366,-62.391,-56.708,-126.407,-126.869,-125.253,-125.069,0.436,1.233,0.543
-65.716,-71.398,-71.435,-65.744,-127.24,-128.174,-125.736,-125.388,0.438,0.68,0.278
21.148,15.912,15.902,21.138,-131.024,-131.08,-130.405,-130.324,0.46,1.154,0.471
80.097,74.41,74.369,80.031,-124.298,-125.269,-122.457,-119.833,0.389,1.306,0.36
-33.647,-38.893,-38.906,-33.659,-128.619,-128.759,-127.88,-127.808,0.213,0.637,0.153
-56.631,-61.896,-61.92,-56.651,-127.447,-127.864,-126.279,-126.114,0.362,0.807,0.643
76.51,71.234,71.2,76.463,-127.22,-127.748,-125.407,-123.939,0.263,0.475,0.308
-34.5,-40.162,-40.176,-34.513,-124.437,-124.6,-123.697,-123.613,0.332,0.852,0.34
-31.476,-37.136,-37.149,-31.488,-125.414,-125.56,-124.703,-124.626,0.333,0.871,0.502
-31.403,-37.062,-37.073,-31.413,-134.863,-134.989,-134.141,-134.079,0.338,1.041,0.207
-79.034,-84.661,-84.793,-79.097,-132.971,-140.058,-131.279,-128.762,0.286,0.875,0.276
27.816,22.577,22.567,27.805,-130.954,-131.012,-130.302,-130.207,0.243,0.409,0.216
30.56,24.906,24.895,30.549,-127.72,-127.788,-127.071,-126.957,0.316,0.679,0.161
-6.668,-12.318,-12.328,-6.678,-122.868,-122.952,-122.295,-122.227,0.349,0.752,0.338
12.611,7.379,7.369,12.602,-128.984,-129.044,-128.398,-128.327,0.259,1.08,0.514
-77.588,-82.836,-82.928,-77.641,-135.207,-139.406,-132.965,-131.537,0.37,0.661,0.24
-42.251,-47.504,-47.52,-42.265,-125.717,-125.916,-124.869,-124.776,0.34,1.111,0.34
27.642,22.406,22.395,27.631,-127.754,-127.816,-127.116,-127.017,0.34,0.887,0.304
-82.495,-87.545,-87.862,-82.591,-133.092,-154.933,-135.551,-126.825,0.386,0.894,0.548
-79.272,-84.497,-84.629,-79.338,-130.089,-136.752,-128.173,-125.751,0.214,0.507,0.33
-67.79,-73.47,-73.509,-67.819,-132.684,-133.781,-131.062,-130.677,0.361,0.925,0.435
17.796,12.148,12.138,17.786,-125.742,-125.809,-125.158,-125.071,0.367,1.054,0.489
5.083,-0.146,-0.156,5.073,-123.773,-123.84,-123.206,-123.138,0.42,1.063,0.288
33.893,28.654,28.643,33.881,-127.678,-127.745,-126.998,-126.881,0.328,0.754,0.224
-31.471,-36.715,-36.727,-31.482,-130.671,-130.798,-129.951,-129.884,0.373,0.771,0.233
-19.77,-25.425,-25.436,-19.781,-126.233,-126.338,-125.607,-125.54,0.286,0.709,0.275
6.698,1.051,1.041,6.688,-122.696,-122.768,-122.135,-122.06,0.187,0.54,0.419
-55.054,-60.729,-60.75,-55.072,-131.513,-131.91,-130.405,-130.251,0.431,1.054,0.354
82.692,77.413,77.361,82.603,-124.521,-125.98,-122.461,-118.43,0.387,0.818,0.394
89.41,83.802,83.704,88.74,-97.832,-130.089,-122.722,-65.73,0.599,0.72,0.226
-63.423,-69.105,-69.138,-63.449,-124.895,-125.666,-123.498,-123.202,0.479,1.463,0.549
24.563,19.329,19.319,24.552,-126.726,-126.788,-126.107,-126.015,0.322,1.084,0.486
-27.731,-33.389,-33.401,-27.742,-130.592,-130.716,-129.91,-129.842,0.368,0.699,0.256
48.584,43.339,43.325,48.568,-124.243,-124.342,-123.418,-123.214,0.42,1.263,0.444
85.665,79.984,79.918,85.511,-119.731,-123.213,-118.803,-109.672,0.513,1.437,0.612
30.679,25.445,25.434,30.667,-124.524,-124.592,-123.879,-123.769,0.55,0.943,0.483
70.159,64.892,64.867,70.126,-124.54,-124.841,-123.13,-122.364,0.431,1.189,0.368
13.546,8.313,8.304,13.537,-130.037,-130.095,-129.446,-129.374,0.475,1.466,0.414
-18.428,-24.082,-24.092,-18.438,-127.265,-127.365,-126.645,-126.579,0.382,1.051,0.39
